,Nombre de la colonia,Municipios en los que se encuentra,Promedio de ocupantes por cuarto en viviendas particulares habitadas,Viviendas particulares habitadas con piso de tierra,Viviendas particulares habitadas que no disponen de agua entubada en el mbito de la vivienda,Viviendas particulares habitadas que disponen de letrina (pozo u hoyo)
46,EL ZALATE,Guadalajara,0.96,11,0,0
47,LA CAMPESINA,Guadalajara,1.08,3,3,2
48,EL ZALATE,Guadalajara,1.00,0,0,0
49,SAN JOAQUIN,Guadalajara,1.05,8,0,0
50,JARDINES DE LOS POETAS,Guadalajara,0.86,0,0,0
51,INSURGENTES DE LA PRESA,Guadalajara,1.01,6,0,0
52,DEL BARRO,Guadalajara,1.02,9,1,1
53,VISTAS DEL NILO,Guadalajara,1.00,1,0,0
54,LOS ARRAYANES,Guadalajara,0.87,1,0,0
55,MIGUEL HIDALGO,Guadalajara,0.72,7,1,0
56,CUAUHTEMOC,Guadalajara,0.96,21,2,1
57,PLUTARCO ELIAS CALLES,Guadalajara,0.94,1,0,0
58,SAN ISIDRO,Guadalajara,0.95,8,2,0
59,LIBERTAD,Guadalajara,0.87,10,3,3
60,PARQUES DEL NILO I,Guadalajara,0.80,1,0,0
61,SAN ANDRES,Guadalajara,0.91,0,0,0
62,PARQUES DEL NILO 2a SECCION,Guadalajara,0.82,1,0,0
63,VICENTE GUERRERO,Guadalajara,0.66,4,0,0
64,SANTA MA DE SILO,Guadalajara,0.82,5,0,0
65,AGUSTIN YAEZ (LA FLORIDA),Guadalajara,0.94,14,3,1
66,HORMIGUERO,Guadalajara,0.66,2,0,0
67,ELECTRICISTAS,Guadalajara,0.59,10,3,2
68,UNIVERSITARIA,Guadalajara,0.65,1,0,0
69,SUTAJ,Guadalajara,0.74,0,0,1
70,HERMOSA PROVINCIA,Guadalajara,1.01,1,1,0
71,LOMAS DEL PARADERO,Guadalajara,0.74,5,1,0
72,SANTOS DEGOLLADO,Guadalajara,0.75,0,0,0
73,LAGOS DE ORIENTE,Guadalajara,0.98,23,0,1
74,JARDINES DE SAN FRANCISCO,Guadalajara,0.93,6,1,1
75,BENITO JUAREZ,Guadalajara,0.94,6,2,0
76,TETLAN,Guadalajara,1.00,16,9,0
77,AARON JOAQUIN,Guadalajara,0.91,8,5,4
78,BALCONES DE OBLATOS,Guadalajara,1.01,31,3,1
79,JARDINES DE LA PAZ,San Pedro Tlaquepaque,0.67,0,0,0
80,PRADOS DEL NILO,Guadalajara,0.76,1,1,1
81,LOMA EL PEDREGAL,Zapopan,1.20,5,1,0
82,MESA COLORADA ORIENTE,Zapopan,1.27,34,5,4
83,MIRADOR ESCONDIDO,Zapopan,1.29,44,4,3
84,LA CORONILLA,Zapopan,1.19,30,8,7
85,VISTA HERMOSA,Zapopan,1.15,33,4,2
86,LA MESA COLORADA PONIENTE,Zapopan,1.21,128,35,23
87,CRUCERO DE LA MESA,Zapopan,1.14,19,3,0
88,MESA DE LOS OCOTES,Zapopan,1.29,113,49,11
89,VILLA DE GUADALUPE,Zapopan,1.17,146,32,11
90,LA HIGUERA,Zapopan,1.30,25,15,5
91,MIGUEL HIDALGO,Zapopan,1.22,24,6,1
92,LOMAS DEL REFUGIO,Zapopan,1.32,30,5,3
93,NUEVA ESPAA,Zapopan,1.26,9,0,0
94,INDIGENA DE MEZQUITAN,Zapopan,1.28,40,2,1
95,BENITO JUAREZ NORTE,Zapopan,1.22,20,7,3
96,LA JUNTA DE LOS OCOTES,Zapopan,1.29,14,1,0
97,AGUA FRIA,Zapopan,1.17,90,1,1
98,LOMAS DEL CENTINELA,Zapopan,1.33,79,49,25
99,CABAITAS,Zapopan,1.16,8,2,0
100,NUEVO VERGEL,Zapopan,1.23,28,5,4
